County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Dublin,Irish Waterski & Wakeboard Federation Ltd,Supply of Boat and Wakeboard Obstacles,"€53,170",National Governing Body of Sport,Waterskiing & Wakeboarding
Dublin,Irish Wheelchair Association-Sport,Wheelchair rugby chairs Irish Wheelchair Rugby,"€25,000",National Governing Body of Sport,Wheelchair Sport
Dublin,Irish Wheelchair Association-Sport,Wheelchair rugby wheelchairs Gaelic Warriors,"€25,000",National Governing Body of Sport,Wheelchair Sport
Dublin,Irish Wheelchair Association-Sport,Wheelchair sports facility & equipment,"€77,686",National Governing Body of Sport,Wheelchair Sport
Dublin,"Jesus and Mary College, Our Lady's Grove",New astro floodlit pitch with Changing facilities,"€178,994",School (primary or second level),Hockey
Dublin,Kenilworth Bowling Club Ltd,Upgrade to Club facilities and equipment,"€85,245",Sports Club,Bowls
Dublin,Kevins Hurling & Camogie Club,Kevins Hurling & Camogie Expansion Plan,"€121,208",Sports Club,Hurling
Dublin,Kilbarrack United FC,Self Maintaining All Weather Facility,"€5,300",Sports Club,Soccer
Dublin,Killester Sports & Social Club,NEW MOWER - PITCH,"€10,600",Sports Club,Soccer
Dublin,Killinarden Angling Initiative,Connecting Communities Through Angling,"€17,023",Community Group,Angling/Fishing
Dublin,Kilmacud Crokes GAA Club,Kilmacud Crokes GAA Club - Silverpark,"€149,650",Sports Club,Gaelic Games
Dublin,Kilnamanagh AFC,All Weather Pitch Extension,"€114,000",Sports Club,Soccer
Dublin,Kinsealy Boys Football Club,Portable 7 a-side Goalposts,"€1,198",Sports Club,Soccer
Dublin,Knocklyon United Football Club,Clubhouse Refurbishment & Replacement Equipment,"€25,000",Sports Club,Soccer
Dublin,L.O.W. Limited,Floodlight Retrofit,"€150,000",Sports Club,Rugby
Dublin,Ladies Gaelic Football Association,Coach Education Equipment and Delivery Tools,"€56,261",National Governing Body of Sport,Gaelic Football
Dublin,Lansdowne Lawn Tennis Club,"Resurface 6 tennis courts, replace nets and BBQ","€86,366",Sports Club,Tennis
Dublin,Leicester Celtic AFC,Replacement of existing All Weather Pitch,"€150,000",Sports Club,Soccer
Dublin,Leinster Badminton,Equipment upgrade Baldoyle Badminton Centre,"€18,408",Sports Centre,Badminton
Dublin,Leinster Cricket Club,Upgrade existing Scoreboard to an LED Scoreboard,"€8,000",Sports Club,Cricket
Dublin,Leinster Open Sea,Sports Equipment Non Personal Leinster Open Sea,"€12,000",Sports Club,Swimming
Dublin,Leopardstown Tennis Club Ltd,Tennis court practice wall and security fencing,"€32,128",Sports Club,Tennis
Dublin,Lourdes Youth & Community Services,LYCS Outdoor Education Project - Sports Equipment,"€11,127",Community Group,Multi-sport
Dublin,Lucan Harrier & Athletics Club,Lucan Harriers & Athletic Club - Sports Equipment,"€38,122",Sports Club,Athletics
Dublin,Lucan Pitch & Putt Club,Upgrade energy efficient Heating System. Mower,"€19,736",Sports Club,Pitch and Putt
Dublin,Lucan Sarsfields GAA Club,Lucan Sarsfields -enhancement of playing surfaces.,"€150,000",Sports Club,Gaelic Games
Dublin,Lusk Judo Kan,Lusk Judo Kan 2017 Sports Equipment,"€4,778",Sports Club,Judo
Dublin,Lusk United AFC,Defibrillator & Lawn Mower,"€4,721",Sports Club,Soccer
Dublin,MALAHIDE BASKETBALL CLUB,Refurbishment of dressing rooms and floor covering,"€11,900",Sports Club,Basketball
Dublin,MALAHIDE GOLF CLUB,Improved Practice Facilities,"€150,000",Sports Club,Golf
Dublin,Malahide Lawn Tennis & Croquet Club,New LED floodlights on 9 courts & fencing and nets,"€123,000",Sports Club,Tennis
Dublin,Malahide Rugby Football Club,Indoor Gymasium at Malahide Rugby Club,"€150,000",Sports Club,Rugby
Dublin,Malahide Sea Scouts Limited,MSS Equipment Application SC 2017,"€73,167",Scout Troop,Multi-sport
Dublin,Malahide United Association Football Club,Malahide United 2017 All weather pitch,"€150,000",Sports Club,Soccer
Dublin,Malahide Yacht Club,Malahide Yacht Club Essential Rescue Equipment,"€61,200",Sports Club,Sailing
Dublin,Man O War GFC,Fitout 1st floor of clubhouse for Gym/Games area,"€67,400",Sports Club,Gaelic Games
Dublin,McKelvey Celtic FC,Multi usage games area,"€61,032",Sports Club,Soccer
Dublin,Merrion Cricket Club,Practice Facilities Overhaul,"€29,929",Sports Club,Cricket
Dublin,"Methodist Church In Ireland (Applicants for
Wesley College Dublin)",Resurfacing of hockey pitch at Wesley College.,"€150,000",Diocesan Trust,Hockey
Dublin,Milverton Off Road Motorcycle Club LTD,Milverton Off Road Motor Cycle Club Ltd,"€29,825",Special Interest Group,Motorcycling
Dublin,Monkstown (Dublin) Boxing Club,Equipment Upgrade,"€5,890",Sports Club,Boxing
Dublin,Monkstown FC,Monkstown FC / Pembroke CC 2017 Facility Upgrade,"€94,389",Sports Club,Rugby
Dublin,Mount Merrion Youths FC,"Improving Safety ,Pitch Cutting & portable goals","€17,644",Sports Club,Soccer
Dublin,Mount Pleasant Tennis Club,Court resurfacing and installing new floodlights,"€150,000",Sports Centre,Tennis
Dublin,Mountaineering Ireland,Climbing & Walking - Non-personal equipment,"€22,500",National Governing Body of Sport,Mountaineering
Dublin,"MOUNTVIEW FORTLAWN COMMUNITY
CAMPUS LTD",Equipment & Mowers for Youth & Community Centre,"€8,495",Community Group,Soccer
Dublin,Mulhuddart Community Centre,Pitch Lighting and Netting Upgrade,"€20,638",Community Group,Soccer
Dublin,Naomh Maighreide,St. Margarets Gaa and Community facilities,"€147,402",Sports Club,Gaelic Games
Dublin,Naomh Mearnog GAA club,Sand Based Pitch Naomh Mearnog,"€135,727",Sports Club,Gaelic Games
Dublin,Neptune Rowing Club,Purchase 8 person rowing boat suitable for women,"€20,300",Sports Club,Rowing
Dublin,North County Cricket Club,Heating Equipment for North County Cricket Club,"€25,418",Sports Club,Cricket
Dublin,O'Dwyers GAA Club,O'Dwyer GAA Development Project,"€127,998",Sports Club,Gaelic Games
Dublin,Old Alex Ladies Hockey Club,Provision of Training Equipment for Use by OAHC,"€6,130",Sports Club,Hockey
Dublin,OLD BAWN GYMNASTICS Ltd,Raisingthebar@OLDBAWNGYMNASTICS,"€75,000",Sports Club,Gymnastics
Dublin,Padel Federation of Ireland,Padel Academy non personal equipment,"€5,000",National Governing Body of Sport,Tennis
Dublin,Padel Ireland,Rockbrook Padel Club shelter,"€25,000",Sports Club,Tennis
Dublin,Peamount Utd. F.C,Peamount Utd. F.C All Weather Carpet Replacement,"€150,000",Sports Club,Soccer
Dublin,Pembroke Fencing Club,New weapon inclusion in school program,"€4,400",Sports Club,Fencing
Dublin,Pentathlon Ireland,Pentathlon Ireland: Participation Equipment,"€21,067",National Governing Body of Sport,Modern Pentathlon
Dublin,Phoenix Cricket Club,Building safety upgrades,"€23,692",Sports Club,Cricket
Dublin,Phoenix Football Club,Pheonix Football Club development project,"€146,340",Sports Club,Soccer
Dublin,Phoenix Gymnastics Ltd,Purchase Vital Gymnastics Equipment,"€54,000",Sports Club,Gymnastics
Dublin,Piranha Triathlon Club,Dublin City Triathlon - Excellence in Triathlon,"€7,000",Sports Club,Triathlon
Dublin,Poolbeg Yacht and Boat Club,Dublin City Community Sailing,"€150,000",Sports Club,Sailing
Dublin,Portmarnock AFC Ltd,Refurbishment of existing dressing rooms/clubhouse,"€100,000",Sports Club,Soccer
Dublin,Portmarnock Sports & Leisure Club,Upgrade Sports changing room facilities.,"€150,000",Sports Centre,Swimming
Dublin,Portmarnock Sub Aqua Club,Portable Diving Compressor,"€13,000",Sports Club,Diving/Snorkelling
Dublin,Raheny GAA Club,"Invalid access/lift, refurbishment works 2017.","€108,087",Sports Club,Gaelic Games
Dublin,Railway Union Sports Club,Sports and grounds equipment,"€71,795",Sports Club,Multi-sport
Dublin,Rathcoole Boys FC,Replace existing Grass Pitch with 3G Astro Turf,"€142,399",Sports Club,Soccer
Dublin,Rathcoole Community Council Ltd,Refubishment of sports hall,"€99,400",Community Group,Multi-sport
Dublin,Rathdown School,Hockey Netting and Equipment Application 2017,"€19,000",School (primary or second level),Hockey
Dublin,Red Lake Youth & Football Club,New changing rooms and replacement of equipment,"€12,177",Youth Club,Soccer
Dublin,Remember Us,Refurbishment of Sportshall & Sports Equipment,"€27,670",Disability Group,Multi-sport
Dublin,Ring Commons Sports Centre,Mobile Cricket Practice Facility and Mowers,"€22,500",Sports Centre,Multi-sport
Dublin,Ringsend & Irishtown Community Centre,Multifunction Sports Hall,"€150,000",Community Group,Boxing
Dublin,Riversdale Sports Club,Refurbishing of four tennis courts,"€17,329",Sports Club,Tennis
Dublin,Roadstone Group Social Club,Football Building,"€200,000",Sports Centre,Soccer
Dublin,Royal Irish Yacht Club,Safety and support fleet,"€25,000",Sports Club,Sailing
Dublin,Rugby League Ireland,Rugby League Ireland youth activity development,"€40,000",National Governing Body of Sport,Rugby
Dublin,Rush Athletic Football Club,Footballs Goalposts and Mower for Rush Athletic FC,"€20,434",Sports Club,Soccer
Dublin,Rush Cricket Club,Draining and Levelling,"€45,490",Sports Club,Cricket
Dublin,Rush Sailing Club,Expansion & Refurb of changing & toilet facilities,"€130,381",Sports Club,Sailing
Dublin,Sailing in Dublin Club Ltd,Keelboat for racing and training,"€20,000",Sports Club,Sailing
Dublin,Scoil Uí Chonaill GAA Club,Combined 4th Dressing Room & Multi-Use Games Area,"€150,000",Sports Club,Gaelic Games
Dublin,"Scouting Ireland Ltd.,",Expansion of climbing based activities,"€16,749",National Governing Body of Sport,Multi-sport
Dublin,Seapoint Rugby Club,Upgrade playing facilities & disabled toilets,"€142,250",Sports Club,Rugby
Dublin,Shandon Pitch and Putt Club,1. Replace fairway mower2. Replace tee-mats,"€4,021",Sports Club,Pitch and Putt
Dublin,Shankill Tennis Club,Regional Centre - Enjoy Tennis,"€45,496",Sports Club,Tennis
Dublin,Sheriff Youth Club Ltd,Sheriff Youth Club Sports Hall Upgrade,"€57,877",Sports Club,Multi-sport
Dublin,Skerries Harps - Clairseacha na Sceiri-,Skills Wall Development,"€52,000",Sports Club,Gaelic Games
Dublin,Skerries Rowing Club,"New rowing boat, trailer, oars and lifejackets","€22,500",Sports Club,Rowing
Dublin,Skerries Rugby Football Club,Skerries Rugby FC All Weather Facility,"€148,504",Sports Club,Rugby
Dublin,Skerries Town FC,Main club pitch floodlighting & equipment,"€75,866",Sports Club,Soccer
Dublin,Slade Valley Golf Club,Course Grass Cutting Equipment,"€97,761",Sports Club,Golf
Dublin,SLEIBH MOR OUTDOOR SPORTS CLUB,Extension of climbing surface in bouldering area,"€1,868",Sports Club,Multi-sport
Dublin,South Dublin County Council,SCP17 Airlie Heights Pitch 1 Phase 2,"€117,075",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Arena Resurface Fettercairn,"€51,562",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Athletics Track Lucan Phase 2,"€200,000",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Belgard Community Centre AWP,"€150,000",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Clondalkin Leisure Centre,"€68,413",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Corkagh Park Cricket Training Facility,"€37,221",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Hermitage Park Frame Football (Esker Celtic),"€67,228",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Knockmitten AWP,"€137,708",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Lucan Leisure Centre,"€10,716",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Tallaght Leisure Centre,"€43,465",Local Authority,Multi-sport
Dublin,South Dublin County Council,SCP17 Tymon Pitch 148/25,"€119,952",Local Authority,Multi-sport
Dublin,South Dublin Panthers A.F.C.,South Dublin Panthers American Football Club,"€13,000",Sports Club,American Football
Dublin,South Dublin Taekwondo,Taekwondo Electronic Scoring Equipment,"€39,307",Sports Club,Taekwondo
Dublin,Special Olympics Ireland,Football and Floorball Development,"€41,800",National Governing Body of Sport,Multi-sport
Dublin,Sports Across Ireland Ltd,Sports Across Ireland sports camps,"€7,500",Community Group,Basketball
Dublin,SPORTSCO,Squash Courts Refurbishment & Gym Equipment,"€75,673",Sports Centre,Multi-sport
Dublin,St Anne's GAA Club,St. Anne's GAA Bohernabreena Facility upgrade 2017,"€149,768",Sports Club,Gaelic Games
Dublin,St Annes Golf Club,Covered practice golf swing room,"€20,900",Sports Club,Golf
Dublin,St Catherine's Boxing Club,St Catherine's Boxing Club Refurbishment Project,"€2,250",Sports Club,Boxing
Dublin,St Columba's College,Astro hockey pitch replacement,"€150,000",School (primary or second level),Hockey
Dublin,St Finians GAA,Upgrade to Facilities and Training Ground Dev.,"€150,000",Sports Club,Gaelic Football
Dublin,St Francis Football Club,St Francis FC 3D synthetic grass pitch program,"€138,500",Sports Club,Soccer
Dublin,St Ita's AFC LTD,Phase-2a: a synthetic all-weather pitch,"€150,000",Sports Club,Soccer
Dublin,st josephs boys afc limited,Refurb of Existing Facility & upgrade Fire Safety.,"€142,125",Sports Club,Soccer
Dublin,St Joseph's/OCB GAA Club,Purchase of Line-marker & Defribillator,"€2,553",Sports Club,Gaelic Games
Dublin,St Judes GAA Club,All Weather Pitch; Skills Wall; Sports Hall Store,"€141,000",Sports Club,Gaelic Games
Dublin,St Malachys,ST MALACHYS AFC GYM EQUIPMENT,"€21,100",Sports Club,Soccer
Dublin,St Mary's Amateur Boxing Club,Refurbish Male Changing Room and replace doors.,"€13,531",Sports Club,Boxing
Dublin,St Marys College tennis Club,St Marys LTC Floodlighting Upgrade Project,"€65,948",Sports Club,Tennis
Dublin,St Marys GFC Saggart,Extension of Hall for gym & purchase of mower,"€118,972",Sports Club,Gaelic Football
Dublin,St Mary's Youth Club Ltd,New accessible toilet facilities for outdoor pitch,"€37,000",Youth Club,Multi-sport
Dublin,St Mattews Boxing Club Ltd,Ladies Facility,"€25,000",Sports Club,Boxing
Dublin,St Maurs GAA club,Playing & Training Facilities at St Maurs GAA,"€102,400",Sports Club,Gaelic Games
Dublin,"St Michael's Rowing Club, Dun Laoghaire","St. Michael's Skiff, Oars and Trailer 2017","€21,090",Sports Club,Rowing
Dublin,St Olafs GAA Club,Construction of New Dressing Rooms and Gym Area,"€150,000",Sports Club,Gaelic Games
Dublin,St Oliver Plunkett Eoghan Ruadh GAA,Re-roofing & refurb damaged floor,"€80,000",Sports Club,Gaelic Games
Dublin,St Patricks Gaa (Palmerstown),Gym equipment,"€30,520",Sports Club,Gaelic Games
Dublin,"St Patricks GAA Club, Donabate",All Weather 3G synthetic grass pitch,"€150,000",Sports Club,Gaelic Games
Dublin,St Sylvesters G A A Club,Conversion of Pitch 2 Broomfield to All-Weather,"€150,000",Sports Club,Gaelic Games
Dublin,"St Tiernans Community School,",Construction of a quality artificial playing pitch,"€200,000",School (primary or second level),Soccer
Dublin,St Tiernans Cycling Club,Performance Improvement Cycling Equipment,"€5,413",Sports Club,Cycling
Dublin,St Vincents GAA,St Vincents GAA Club - All Weather Playing Surface,"€150,000",Sports Club,Gaelic Games
Dublin,St. Michael's House,St. Michael's Fitness 4 All,"€8,500",Disability Group,Swimming
Dublin,Stars of Erin Gaelic Sports Club,Hurling Ball Wall & astro warm up area,"€131,724",Sports Club,Gaelic Games
Dublin,Stella Maris Football Club,Stella Maris FC Gym-Maintenance-Health Equipment,"€25,000",Sports Club,Soccer
Dublin,STELLA MARIS ROWING CLUB,New skiff boat for our rowing club,"€17,650",Sports Club,Rowing
Dublin,Stillorgan Rugby Football Club,Develop New Sporting Complex On Preowned NAMA Site,"€150,000",Sports Club,Rugby
Dublin,Sutton Dinghy Club,Upgrade of Clubhouse facilities and slipway.,"€97,370",Sports Club,Sailing
Dublin,Sutton Lawn Tennis Club,Tennis Floodlight Replacement Project,"€134,261",Sports Club,Multi-sport
Dublin,Swim Ireland,Swim Ireland - National & Regional Equipment,"€184,142",National Governing Body of Sport,Swimming
Dublin,Swords Celtic,Swords Celtic Football Club Equipment,"€55,613",Sports Club,Soccer
Dublin,Swords Manor Football Club,Sports Equipment,"€23,750",Sports Club,Soccer
Dublin,Swords Rugby Football Club,Establishing and equiping a second rugby team,"€6,180",Sports Club,Rugby
Dublin,Swords Sailing & Boating Club,Provision of two new Rigid Inflatable boats,"€27,658",Sports Club,Sailing
Dublin,Tallaght Community School Sports Complex,5 a side all weather pitch,"€107,725",School (primary or second level),Multi-sport
Dublin,Tallaght Martial Arts,Fitness area for teens adults and older adults.,"€7,425",Sports Club,Martial Arts
Dublin,Tallaght Swim Club,Competitive swimming starting platforms upgrade,"€4,909",Sports Club,Swimming
